date,US_LARGE,US_SMALL,INTERNATIONAL,EMERGING,REIT,CORE_BONDS,HIGH_YIELD,COMMODITIES,CASH
2007-05-31,0.032549228707361655,0.04372009808912103,0.023623216244653245,0.050645383217107875,-0.00378549995760169,-0.009172264808238628,0.003731656472540701,-0.002346484539276106,0.0038250001271565755
2007-06-30,-0.01781632254788501,-0.014383050599617975,-0.0032087504546087775,0.03678320411844882,-0.09007739545132942,-0.0037681973570108385,-0.03152482370810539,0.007448271849586741,0.0038916667302449546
2007-07-31,-0.03198187836198829,-0.069963642467462,-0.022904668278135865,0.007141005507187437,-0.0825933714755136,0.010731653261870644,-0.0388023360359292,0.019066004286355742,0.004008333285649617
2007-08-31,0.012863572018857905,0.021271104906424698,-0.006335527502581817,0.010409762287323598,0.06744565653763313,0.012793809105462017,0.05194097829126698,-0.019091190160301807,0.0033250000079472863
2007-09-30,0.03579400817860079,0.018983863484495656,0.0531754463894083,0.11571489375550792,0.03917261505770342,0.006329274302542265,0.029223533424619585,0.0942000600952364,0.003083333373069763
2007-10-31,0.014822338223554832,0.028485599214893353,0.04249913068081912,0.11870198904273499,0.020990478354684594,0.01007982598511381,0.004789940510771862,0.08502307392964248,0.0031833332777023316
2007-11-30,-0.04404341737941575,-0.06887787197389383,-0.03623700074605307,-0.07649980495620845,-0.09470949410903484,0.018035140523603888,-0.011243887281608078,-0.006229608267768971,0.0025583332777023315
2007-12-31,-0.008628508561297932,-0.00644923432416844,-0.029812968106112447,-0.014066900819757255,-0.05412996355719624,-9.266074042790784e-05,-0.0008246738811266141,0.06704243344890481,0.0026166667540868122
2008-01-31,-0.06116343227776988,-0.06534929874065643,-0.07847111986731192,-0.08922141802316763,-0.007809744848310429,0.023129650201044738,-0.01826868770057566,0.029150857878766923,0.0015583333373069763
2008-02-29,-0.03476119273728817,-0.02932047333848875,-0.010229767296298098,0.019943245294222978,-0.031813810549905286,-0.0016018068406694619,-0.018692993260356783,0.11145313827977565,0.0014874999721844991
2008-03-31,-0.005959623397817415,-0.006658704167250007,0.004190169353181394,-0.03753070256165214,0.06485309096455016,0.0012976943261771012,0.009460256376214504,-0.009141305837535363,0.0010624999801317851
2008-04-30,0.047546697641229096,0.045541083721629017,0.05438096301162676,0.09138251955640775,0.06379226873704669,0.0032760422339941364,0.03397041640518217,0.06038581079964267,0.0011166666944821676
2008-05-31,0.01067418170406853,0.045798125680565516,0.011871631532085702,0.03163795122450863,-0.002109354245767414,-0.012653187337139271,-0.005085578645491973,0.06907469749075013,0.0015416666865348816
2008-06-30,-0.08596238482631446,-0.07526403837890527,-0.08786821805964606,-0.09269450552588898,-0.1061538408606294,-0.0018486083839804879,-0.0367483277672519,0.10431552585853487,0.00142083336909612
2008-07-31,-0.009859371185302779,0.03673031378728164,-0.033201743502643155,-0.05504013098253002,0.031153553101920917,0.00393970098722729,0.005903294642901846,-0.09781142970196255,0.001362499992052714
2008-08-31,0.012190464669121548,0.03575476256457266,-0.04247641893190712,-0.06315813511209378,0.023738541482104525,0.007419129793572843,-0.008976777694538418,-0.06534664428133052,0.0014083333810170492
2008-09-30,-0.09079143354379215,-0.07751498115346056,-0.11436237840410213,-0.14681638139770092,-0.0012370879474530305,-0.017597765808998744,-0.10655887445871359,-0.10248925557078992,0.0007499999801317851
2008-10-31,-0.16942452401777075,-0.20955868498271835,-0.20834795010252616,-0.2557798755064292,-0.31726984344711284,-0.022810297490749587,-0.11450012205956706,-0.2508114008188187,0.0003625000019868215
2008-11-30,-0.0748490423387097,-0.11925556349343414,-0.06371988624353453,-0.09752255225426298,-0.22717414242730105,0.03024290778219685,-0.0709574500144613,-0.12367084084460023,1.6666666294137637e-05
2008-12-31,0.007821576633499472,0.04805676619739829,0.08868399534634652,0.1033353244524331,0.16710869104420456,0.06662423116588423,0.16766057805369505,-0.032621744602575276,9.583333507180215e-05
2009-01-31,-0.08565734305805428,-0.09666941310530475,-0.13731621148572637,-0.09291175503691818,-0.17530873804086722,-0.01986630590751981,-0.010130469379785567,-0.04436058581465885,0.00018333333233992258
2009-02-28,-0.10993119762019943,-0.11982886465218257,-0.10387586758542544,-0.06269298466972162,-0.20525586393838757,-0.010553255006603979,-0.09715758013256126,-0.056296387569827466,0.00020833333333333335
2009-03-31,0.08540446199532292,0.07757626236052917,0.08390998690564122,0.16862938119474613,0.03641404911908119,0.011030039077424725,0.019075005619414442,0.04657248163049443,0.00016666666915019355
2009-04-30,0.09392507914826331,0.15386468503442963,0.11519004215839024,0.15558232493981583,0.30683674418814877,0.005152286784828153,0.13845892151792194,-0.0009998809934060882,0.00010416666666666667
2009-05-31,0.05308144638516654,0.034006479756782504,0.13191782644848682,0.15939994556787118,0.0261587391770004,0.007097471802795408,0.028555340926591732,0.16266259388488802,0.00010833332935969035
