date,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore,inferred_regime,regime_confidence,regime_margin,regime_entropy,regime_0_prob,regime_1_prob,regime_2_prob,regime_3_prob,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,bond_return,bond_return_source,intl_equity_return,real_estate_return,commodities_return,regime_label
1956-03-31,0.1050025265211386,0.9079872744538104,0.3305812255334257,1.5440083429644806,0.4707414004041484,2,1.0,1.0,-1.000088900581841e-12,4.168010973901136e-74,8.516524665110384e-38,1.0,0.0,0.0692545076991848,0.0664,-0.0213,-0.0049,0.0015,0.0646070644921052,0.0037327360955581,0.0,0.0966666666666666,-0.0066666666666666,-0.039886854460094,synthetic_gs10,,,0.0033557046979864,Inflationary
1956-04-30,0.0513782246138936,1.154758745475652,0.3231964949730849,0.7304095706033871,-1.551891739182105,2,0.9998673193202621,0.9997346404091223,0.0013172089165083066,1.7685113187070057e-09,0.0001326789111397872,0.9998673193202621,1.3957410306411558e-92,-0.0020626748157036,0.0028,-0.0003,-0.0016,0.0019,0.059838514531223,0.0052258305337813,0.0,0.0300000000000001,-0.0666666666666667,-0.0718576576576576,synthetic_gs10,,,0.0066889632107023,Inflationary
1956-05-31,-0.2339914053958179,1.875311083353352,1.1424205956947258,0.1297526143907228,-0.1669837639053227,2,0.9940571803920081,0.9881143607840909,0.03638547323785994,3.5250439565267424e-14,0.005942819607917192,0.9940571803920081,5.611863562838167e-83,-0.0657296452039881,-0.0521999999999999,0.015,-0.0132,0.0023,0.0340355618638381,0.0097123645872245,0.1333333333333333,-0.02,-0.0266666666666666,0.0372411949685535,synthetic_gs10,,,0.0066445182724252,Inflationary
1956-06-30,-0.3469542646543183,2.6551161938038126,0.4806447532388484,-0.4295390980706154,1.9725297492124287,2,0.9770593478977592,0.9541186957957702,0.10927287971004117,2.0828321132037147e-22,0.022940652101988895,0.9770593478977592,7.587120683651588e-129,0.0391593015019358,0.0347,-0.0153,-0.011,0.002,0.023529583098701,0.0164732309996256,0.0333333333333332,-0.0666666666666667,0.0399999999999998,0.0253596362649294,synthetic_gs10,,,0.0,Inflationary
1956-07-31,-0.7790441235472267,2.6950268782609896,1.0948196824072465,1.2432196626536838,2.3923227100246987,2,0.90736518432496,0.8147303686500639,0.30859180944058834,7.951344071559775e-25,0.09263481567489619,0.90736518432496,4.44686943841942e-130,0.0515222079210557,0.0484,-0.0169,-0.0007,0.0022,-0.0155627591986937,0.0198056801195813,0.1333333333333334,0.0733333333333332,0.0633333333333333,-0.0341666666666666,synthetic_gs10,,,-0.0033003300330033,Inflationary
1956-08-31,-0.2863323633453409,2.591423093587272,-0.2149779412141565,1.373361226227663,-0.0979296383495743,2,0.9983897207581104,0.9967794415158545,0.011965247700768811,3.0355407596883162e-21,0.0016102792422559133,0.9983897207581104,3.679686754317636e-125,-0.0380644075996741,-0.0319,0.0189,-0.0073,0.0017,0.0259715831814104,0.0220808383233532,-0.0666666666666667,0.09,-0.02,-0.0681478831725617,synthetic_gs10,,,0.0066225165562914,Inflationary
1956-09-30,-0.0868504603368963,1.964916844971307,-0.6445248380833069,0.4027286171550394,-0.1958762886597878,2,0.9999942127891812,0.999988425578532,7.558014320757757e-05,4.673795283210217e-15,5.787210649277897e-06,0.9999942127891812,3.7799312710060194e-91,-0.0454641112128417,-0.0513999999999999,0.016,0.0175,0.0018,0.0425803112780802,0.0186219739292365,-0.1333333333333333,0.01,-0.0233333333333331,-0.0122400150150148,synthetic_gs10,,,0.0065789473684212,Inflationary
1956-10-31,-0.1845357671692898,2.4820765680110024,-0.8449838254588458,-1.1390675786236693,1.826211919691044,2,0.9999873050588578,0.9999746101175093,0.00015582152419892106,1.7230782722893355e-21,1.2694941348426232e-05,0.9999873050588578,3.790484002657197e-125,0.0050717390225458,0.0052,-0.0012,-0.0007,0.0025,0.0342619080159669,0.0257270693512303,-0.1666666666666668,-0.1199999999999999,0.0466666666666667,0.0146509861932938,synthetic_gs10,,,0.0,Inflationary
1956-11-30,-0.3202232494361896,2.0414281320867937,0.7180840796790802,-0.6000699805527437,1.793683160531008,2,0.9996144072117213,0.9992288144231214,0.003416558734592792,8.699068206630203e-17,0.00038559278859992227,0.9996144072117213,3.9607337670425327e-98,-0.0109697231222869,0.0034999999999999,-0.0021,0.0176,0.002,0.0227850719466733,0.0234375,0.0666666666666667,-0.0766666666666666,0.0499999999999999,-0.0421268463073852,synthetic_gs10,,,0.0032679738562091,Inflationary
1956-12-31,-0.1766612267160605,2.292954957075936,0.9187940438362804,-0.3088225659498462,1.1783940620374074,2,0.999444499489027,0.9988889989781514,0.004719178611056634,9.783103000847385e-19,0.0005555005108755584,0.999444499489027,2.2665931416105776e-108,0.0352705473227223,0.0316,-0.0002,-0.0215,0.0024,0.0340506240194815,0.0282843319687382,0.1,-0.0533333333333333,0.0299999999999999,-0.0257449617956065,synthetic_gs10,,,0.003257328990228,Inflationary
1957-01-31,-0.3015750115273273,2.328816033642652,0.8941492184522437,-0.0185515595957137,2.041276854583552,2,0.9985561235570539,0.9971122471142652,0.010886397411680614,1.0731059574945243e-19,0.0014438764427887512,0.9985561235570539,6.450799205638126e-109,-0.041782666054179,-0.0356999999999999,0.0338,0.0283,0.0027,0.0238084157816849,0.0313082370480806,0.1,-0.0299999999999999,0.0666666666666667,0.0392033658310121,synthetic_gs10,,,0.0064935064935065,Inflationary
1957-02-28,-0.0543436211032004,2.391358188418494,-0.6908492797077573,-0.7173606376595258,3.0636246005253622,2,0.9998312821835001,0.99966256436665,0.0016344029964490523,1.7656839514582772e-21,0.00016871781685014604,0.9998312821835001,2.018889118327816e-114,-0.0326476489113782,-0.0207,-0.0075,-0.0066,0.0024,0.0429818260351084,0.0349962769918095,-0.1333333333333333,-0.0866666666666667,0.1266666666666666,0.0375654142581888,synthetic_gs10,,,0.0,Inflationary
1957-03-31,-0.06981700134338,2.26057546614505,-0.8977310580745098,0.1693074423539908,1.8550685957604625,2,0.9999882434867554,0.9999764869734786,0.0001452058370202788,1.1672132054729536e-18,1.1756513276800783e-05,0.9999882434867554,3.8425041480372706e-106,0.0196486898242727,0.0213,0.0033,-0.0053,0.0023,0.0417188974492599,0.0360728895500186,-0.1666666666666666,-0.0166666666666666,0.0799999999999997,-0.0181747504990019,synthetic_gs10,,,0.0,Inflationary
