Date,spy_equivalent_return,Mkt-RF,SMB,HML,RF,cpi_yoy,unemployment_delta,yield_spread_delta,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore
1953-04-02,-0.0007920973371751128,-0.0003,0.0017000000000000001,-0.0008,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-06,-0.024573878047316478,-0.0213,0.0011,-0.004699999999999999,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-07,0.004063326763146469,0.0028000000000000004,-0.0023,0.005699999999999999,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-08,0.008903327756145885,0.0072,0.0027,0.0018,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-09,-0.0020056616043763187,-0.004,0.0012,0.0008,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-10,-0.00241155417870742,-0.0017000000000000001,0.0003,0.0011,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-13,-0.0020144737177806293,-0.0019,0.0006,0.002,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-14,0.003633433626347937,0.0028000000000000004,-0.0029,0.0036,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-15,0.004022464668784309,0.0049,-0.0002,0.0026,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-16,-0.002003174635196614,-0.0023,-0.0003,-0.0022,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-17,-0.011641871134288162,-0.0095,0.0006,-0.0021,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-20,0.00446785943352368,0.0019,-0.0045000000000000005,0.0036,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-21,-0.002426181441690267,-0.0014000000000000002,0.0039000000000000003,-0.0008,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-22,-0.008512403371375932,-0.0076,0.0025,-0.0018,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-23,-0.011038371239614486,-0.011899999999999999,0.0004,0.0025,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-24,0.00041340341715812023,0.0001,-0.0018,-0.0001,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-27,0.005785098563419799,0.004699999999999999,-0.0003,0.0046,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
1953-04-28,0.0073952466740903056,0.004699999999999999,-0.0046,0.0015,0.0001,0.006369426751592355,0.20000000000000018,-0.020000000000000018,-1.0398248614645516,0.4796860538302213,0.011910787027870306
