Date,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,inferred_regime,spy_equivalent_return,Mkt-RF,SMB,HML,RF,cpi_yoy,unemployment_delta,yield_spread_delta
1953-04-02,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0007920973371751,-0.0003,0.0017,-0.0008,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-06,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0245738780473164,-0.0213,0.0011,-0.0046999999999999,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-07,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0040633267631464,0.0028,-0.0023,0.0056999999999999,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-08,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0089033277561458,0.0072,0.0027,0.0018,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-09,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0020056616043763,-0.004,0.0012,0.0008,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-10,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0024115541787074,-0.0017,0.0003,0.0011,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-13,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0020144737177806,-0.0019,0.0006,0.002,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-14,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0036334336263479,0.0028,-0.0029,0.0036,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-15,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0040224646687843,0.0049,-0.0002,0.0026,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-16,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0020031746351966,-0.0023,-0.0003,-0.0022,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-17,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0116418711342881,-0.0095,0.0006,-0.0021,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-20,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0044678594335236,0.0019,-0.0045,0.0036,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-21,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0024261814416902,-0.0014,0.0039,-0.0008,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-22,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0085124033713759,-0.0076,0.0025,-0.0018,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-23,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0110383712396144,-0.0118999999999999,0.0004,0.0025,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-24,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0004134034171581,0.0001,-0.0018,-0.0001,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-27,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0057850985634197,0.0046999999999999,-0.0003,0.0046,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-28,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0073952466740903,0.0046999999999999,-0.0046,0.0015,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-29,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0065252791364223,0.0054,0.0016,-0.0028,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-04-30,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,-0.0024310966450757,-0.0013,0.0015,0.0,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
1953-05-01,-1.0398248614645516,1.3705868467253204,0.0745164390616545,2,0.0044678594335236,0.004,-0.0017,-0.0028,0.0001,0.0063694267515923,0.3333333333333333,0.0066666666666666
