date,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore
1954-04-30,0.0489977605291978,0.042699999999999995,-0.0347,-0.0037,0.0009,-0.08264703776074955,0.006369426751592355,0.3333333333333333,0.006666666666666672,-0.016666666666666607,-2.0755015944780593,-1.0546042088554792,1.381682765572847,0.034867382098962126,-0.14640087399707907
1954-05-31,0.032908715415554735,0.031,0.0039000000000000003,0.0245,0.0005,-0.08219421990018871,0.008614232209737782,0.2333333333333334,0.036666666666666625,-0.013333333333333197,-2.066760041955698,-0.9735807232268621,0.9688008244556735,0.17543836585888942,-0.11819041375928073
1954-06-30,0.0006851164799297482,0.0108,0.0038,0.0002,0.0006,-0.07565270250251566,0.00635039223010847,-0.03333333333333351,0.13333333333333322,-0.009999999999999787,-1.940477439416837,-1.0552912364427924,-0.13221768519012464,0.6283893135297666,-0.08997995352148239
1954-07-31,0.05717220570478143,0.05,0.0105,0.0414,0.0005,-0.08560097281860068,0.0026129152668905586,-0.03333333333333351,0.0866666666666666,0.006666666666666672,-2.1325266827196523,-1.1901908598902318,-0.13221768519012464,0.4097233387921018,0.05107234766750431
1954-08-31,-0.03400256689108283,-0.0235,0.0268,-0.014199999999999999,0.0005,-0.08196480120136562,0.0,0.033333333333333215,-0.05666666666666672,0.010000000000000083,-2.062331162752722,-1.2845008152618684,0.1430369422213249,-0.26189358361644066,0.07928280790530265
1954-09-30,0.0831378295651315,0.064,-0.0256,0.0068000000000000005,0.0009,-0.06136634381312478,-0.002975083674228385,0.16666666666666666,-0.1233333333333333,-0.006666666666666672,-1.6646823224090144,-1.3918827928172532,0.6935461970442239,-0.5742735475273902,-0.06176949328368655
1954-10-31,-0.019498639471925983,-0.0167,0.0060999999999999995,0.0064,0.0007000000000000001,-0.042192682353555444,-0.008534322820037077,-0.033333333333333215,-0.043333333333333224,-0.05666666666666679,-1.2945388645356517,-1.5925366763874598,-0.13221768519012342,-0.19941759083424992,-0.4849263968506529
1954-11-30,0.08080812337848275,0.0941,-0.0265,0.044500000000000005,0.0006,-0.002884250068226679,-0.0026070763500931626,-0.2333333333333334,0.036666666666666625,-0.05333333333333338,-0.5356979368206735,-1.378600022129886,-0.957981567424472,0.17543836585888942,-0.45671593661285453
1954-12-31,0.050817692128321434,0.054900000000000004,0.0218,0.056799999999999996,0.0008,0.03545274521527819,-0.0037216226274656705,-0.36666666666666653,-0.003333333333333336,-0.04999999999999997,0.2043896061159494,-1.4188281960054638,-1.5084908222473699,-0.011989612487680415,-0.4285054763750562
1955-01-31,0.018065634634482963,0.006,0.0024,0.021,0.0008,0.06696213934004946,-0.006310319227913919,-0.2666666666666666,-0.02000000000000009,-0.06333333333333317,0.8126717603320709,-1.5122640084684966,-1.0956088811301963,-0.09008460346541834,-0.5413473173262459
