n_states,BIC,AIC,log_likelihood,free_params,converged,structurally_valid,num_issues,num_warnings,min_persistence,min_regime_count,min_regime_distance,delta_BIC,delta_AIC
2,3185.835493863721,3104.9340772450323,-1529.4670386225162,23,True,True,0,0,0.9031456684458371,47,2.9499996993405273,204.0413681459263,316.5998608327968
3,3265.294510273594,3131.631300207935,-1527.8156501039675,38,True,False,3,0,0.00043242931370133543,46,0.06206963524030607,283.5003845557994,343.29708379569956
4,2981.7941257177945,2788.3342164122355,-1339.1671082061177,55,True,True,0,1,0.8810590878288097,18,1.1374814463978882,0.0,0.0
5,3137.1940286834906,2876.902514345102,-1364.451257172551,74,True,False,3,0,7.473339920469416e-09,2,0.060998548233402346,155.39990296569613,88.5682979328667
6,3188.32260138891,2854.1645762247626,-1332.0822881123813,95,True,False,4,0,1.9664543208064347e-06,2,0.03054348718598125,206.5284756711153,65.83035981252715
