,To_0,To_1,To_2,To_3
Regime_0,0.9862005557756177,0.007545865018327417,0.004251407605134159,0.0020021716009208067
Regime_1,0.04578606230710929,0.9160209563886215,0.038192981281201965,2.3067244505730833e-11
Regime_2,0.01043873716456952,0.02570588216175004,0.9638553806736805,2.3592525606549255e-49
Regime_3,0.09262026626010993,2.9505822375426863e-32,1.661846679833496e-10,0.9073797335737054
